"tagID","tagProjectID","mfgID","dateBin","type","codeset","manufacturer","model","lifespan","nomFreq","offsetFreq","period","periodSD","pulseLen","tsSg","tagDeployID","sdID","deploymentStatus","dtStart","dtEnd","tsStart","tsEnd","tsStartAnticipated","deferSec","speciesID","speciesName","speciesCode","motusScientificName","motusEnglishName","motusFrenchName","bandNumber","markerNumber","markerType","latitude","longitude","elevation","sex","age","weight","wing","tarsus","culmen","bill","head","fatScore","comments"
"10998","38","207","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.5793","5.8984","0.0001","2.5","1403980958.9857","1541","","active","2014-07-18 17:51:00 +00:00","","1405705860","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","246107901","metal band","51.79170000","-80.69170000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":20.7,""blood"":""Y"",""country"":""Canada"",""culmen"":20.7,""fatScore"":3,""locationID"":""JBLR"",""province"":""Ontario"",""sexID"":""U"",""weight"":26,""wing"":96,""comments"":null}"
"10999","38","208","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.6194","5.8984","0.0001","2.5","1403980959.0657","1542","","active","2014-07-18 17:51:00 +00:00","","1405705860","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","246107902","metal band","51.79170000","-80.69170000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":18.6,""blood"":""Y"",""country"":""Canada"",""culmen"":18.6,""fatScore"":2,""locationID"":""JBLR"",""province"":""Ontario"",""sexID"":""U"",""weight"":24,""wing"":96,""comments"":null}"
"11000","38","209","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.7928","5.8985","0.0001","2.5","1403980959.1457","1543","","active","2014-07-18 17:51:00 +00:00","","1405705860","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","246107903","metal band","51.79170000","-80.69170000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":19.5,""blood"":""Y"",""country"":""Canada"",""culmen"":19.5,""fatScore"":3,""locationID"":""JBLR"",""province"":""Ontario"",""sexID"":""U"",""weight"":26,""wing"":99,""comments"":null}"
"11001","38","210","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.6278","5.8984","0.0001","2.5","1403980959.2256","1544","","active","2014-07-18 17:51:00 +00:00","","1405705860","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","246107904","metal band","51.79170000","-80.69170000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":17.6,""blood"":""Y"",""country"":""Canada"",""culmen"":17.6,""fatScore"":4,""locationID"":""JBLR"",""province"":""Ontario"",""sexID"":""U"",""weight"":27,""wing"":95,""comments"":null}"
"11002","38","211","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.7506","5.8984","0.0001","2.5","1403980959.3016","1545","","active","2014-07-18 17:51:00 +00:00","","1405705860","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","246107906","metal band","51.79170000","-80.69170000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":19.3,""blood"":""Y"",""country"":""Canada"",""culmen"":19.3,""fatScore"":2,""locationID"":""JBLR"",""province"":""Ontario"",""sexID"":""U"",""weight"":25,""wing"":94,""comments"":null}"
"11003","38","212","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.5863","5.8985","0.0001","2.5","1403980959.3816","1546","","active","2014-07-24 15:12:00 +00:00","","1406214720","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","269170604","metal band","51.69170000","-80.55830000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":18,""blood"":""Y"",""country"":""Canada"",""culmen"":18,""locationID"":""JBLP"",""province"":""Ontario"",""sexID"":""U"",""weight"":22,""wing"":95,""comments"":null}"
"11004","38","213","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.8783","5.8985","0.0001","2.5","1403980959.4616","1547","","active","2014-07-27 15:18:00 +00:00","","1406474280.0000002","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","269170638","metal band","51.69170000","-80.55830000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":18.8,""blood"":""Y"",""country"":""Canada"",""culmen"":18.8,""locationID"":""JBLP"",""province"":""Ontario"",""sexID"":""U"",""weight"":33,""wing"":97,""comments"":null}"
"11006","38","215","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.9749","5.8983","0.0001","2.5","1403980959.6296","1548","","active","2014-08-01 10:31:00 +00:00","","1406889060","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","269170685","metal band","51.69170000","-80.55830000","","","","","","","","","","",""
"11008","38","217","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-1.2437","5.8983","0.0001","2.5","1403980959.7936","1549","","active","2014-07-27 06:17:00 +00:00","","1406441820","","","0.0","4820","Calidris alpina","","Calidris alpina","Dunlin","Bécasseau variable","","264101407","metal band","51.69170000","-80.55830000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":36,""blood"":""Y"",""country"":""Canada"",""culmen"":36,""locationID"":""JBLP"",""province"":""Ontario"",""sexID"":""U"",""wing"":121,""comments"":null}"
"11009","38","218","2014-2","ID","Lotek4","Lotek","NTQB-3-2","","166.38","-0.4836","5.8984","0.0001","2.5","1403980959.8656","1550","","active","2014-07-27 15:18:00 +00:00","","1406474280.0000002","","","0.0","4690","Calidris pusilla","","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","","269170641","metal band","51.69170000","-80.55830000","","","","","","","","","","","{""ageID"":""AHY"",""bill"":19.9,""blood"":""Y"",""country"":""Canada"",""culmen"":19.9,""locationID"":""JBLP"",""province"":""Ontario"",""sexID"":""U"",""wing"":96,""comments"":null}"
